[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,24068375.038,,2.00002357959747,-86297.451875,0,-4.33051694184542e-006,999.890258789063,9.77809678763151e-006,999.890258789063,9.7620390355587e-005,999.890258789063,,,7.06644593803315e-008,6.49949042133995e-008,6.9606320740782e-007,,25,-0.00433051694184542,0.00977809678763151,0.097620390355587,
,24068393.555,,1.99998722553253,-84832.4590625,0,-4.46322804316878e-006,999.890258789063,9.76862151175738e-006,999.890258789063,9.76549211144447e-005,999.890258789063,,,3.64533406500422e-008,6.36228823554163e-008,6.18830621726964e-007,,25,-0.00446322804316878,0.00976862151175737,0.0976549211144447,
,24068412.01,,1.99997685432434,-83346.9275,0,-4.39638871699572e-006,999.890258789063,9.77928914129734e-006,999.890258789063,9.75962689518929e-005,999.890258789063,,,7.00520233482524e-008,8.76568294024155e-008,8.19799501316754e-007,,25,-0.00439638871699572,0.00977928914129734,0.0975962689518929,
,24068431.307,,2.00002924442291,-81843.21375,0,-4.15848240256309e-006,999.890258789063,9.7829956561327e-006,999.890258789063,9.75712180137634e-005,999.890258789063,,,8.47282861066919e-008,6.06784831953472e-008,6.98917351882634e-007,,25,-0.0041584824025631,0.0097829956561327,0.0975712180137634,
,24068449.684,,1.99998225212097,-80377.6925,0,-3.88296760618687e-006,999.890258789063,9.81927040964365e-006,999.890258789063,9.74880349636078e-005,999.890258789063,,,8.77264316246733e-008,6.16824688777361e-008,8.19498853818453e-007,,25,-0.00388296760618687,0.00981927040964365,0.0974880349636078,
,24068468.124,,1.99995990276337,-78910.859375,0,-3.65081693977118e-006,999.890258789063,9.84350156038999e-006,999.890258789063,9.75165203213692e-005,999.890258789063,,,6.3725710611579e-008,5.93287856777518e-008,6.80321190765704e-007,,25,-0.00365081693977118,0.00984350156039,0.0975165203213692,
,24068487.062,,1.99995870113373,-77378.42625,0,-3.54569658637047e-006,999.890258789063,9.82988778501749e-006,999.890258789063,9.7530737221241e-005,999.890258789063,,,3.810718528869e-008,5.54941939846143e-008,7.27329289638619e-007,,25,-0.00354569658637047,0.00982988778501749,0.097530737221241,
,24068506.578,,1.99994555950165,-75871.06875,0,-3.58316647820175e-006,999.890258789063,9.84733819961548e-006,999.890258789063,9.74199521541596e-005,999.890258789063,,,4.53951976021042e-008,5.38345213001566e-008,6.08125090960229e-007,,25,-0.00358316647820175,0.00984733819961548,0.0974199521541596,
,24068525.235,,1.99997583866119,-74390.238125,0,-3.74400265514851e-006,999.890258789063,9.86258435994387e-006,999.890258789063,9.77944120764732e-005,999.890258789063,,,6.45086747006906e-008,7.02401457696215e-008,7.31176243031114e-007,,25,-0.00374400265514851,0.00986258435994387,0.0977944120764732,
,24068543.831,,1.99995309829712,-72886.9146875,0,-3.93362073227763e-006,999.890258789063,9.88605696707964e-006,999.890258789063,9.73609030246735e-005,999.890258789063,,,6.55016302945366e-008,5.24625686857061e-008,7.84397113540748e-007,,25,-0.00393362073227763,0.00988605696707964,0.0973609030246735,
,24068562.801,,2.00002408981323,-71410.4525,0,-4.09746574237943e-006,999.890258789063,9.89186555147171e-006,999.890258789063,9.74635660648346e-005,999.890258789063,,,5.95297062465195e-008,4.66214596427304e-008,7.60326818403118e-007,,25,-0.00409746574237943,0.00989186555147171,0.0974635660648346,
,24068581.443,,2.00001863956451,-69927.5034375,0,-4.13779085502028e-006,999.890258789063,9.90473415702582e-006,999.890258789063,9.71164551377296e-005,999.890258789063,,,4.11408260975791e-008,4.50881319477147e-008,6.30245766073075e-007,,25,-0.00413779085502028,0.00990473415702581,0.0971164551377297,
,24068600.085,,2.00002801418304,-68419.73625,0,-4.03632585890591e-006,999.890258789063,9.92396730929613e-006,999.890258789063,9.72897759079933e-005,999.890258789063,,,7.17796350497284e-008,4.50754412609874e-008,7.53618094223792e-007,,25,-0.00403632585890591,0.00992396730929613,0.0972897759079933,
,24068619.257,,1.99997318744659,-66921.653125,0,-3.84879008866846e-006,999.890258789063,9.93373285979032e-006,999.890258789063,9.71299982070923e-005,999.890258789063,,,5.91890298077601e-008,4.62225397989036e-008,7.40795938830239e-007,,25,-0.00384879008866847,0.00993373285979032,0.0971299982070923,
,24068638.055,,1.99998495578766,-65435.516875,0,-3.69427449069917e-006,999.890258789063,9.97688967734575e-006,999.890258789063,9.72663286328316e-005,999.890258789063,,,3.58653343248718e-008,4.4891542112304e-008,6.04678620325039e-007,,25,-0.00369427449069917,0.00997688967734575,0.0972663286328316,
,24068656.557,,1.999992852211,-63960.0096875,0,-3.67748786695302e-006,999.890258789063,1.0000711530447e-005,999.890258789063,9.7082956135273e-005,999.890258789063,,,4.77063035073769e-008,4.92278655609244e-008,6.76212277792712e-007,,25,-0.00367748786695302,0.010000711530447,0.097082956135273,
